Genome Difference_Based_Sum
GCF_000730285.1_ASM73028v1_protein_matches 497
GCF_001304615.2_ASM130461v2_protein_matches 505
GCF_000970005.1_ASM97000v1_protein_matches 527
GCF_020886315.1_ASM2088631v1_protein_matches 519
GCF_001592435.1_ASM159243v1_protein_matches 471
GCF_000299395.1_ASM29939v1_protein_matches 467
GCF_902827225.1_Methanocaldococcus_lauensis_SG7_protein_matches 468
GCF_001548675.1_ASM154867v1_protein_matches 512
GCF_000246985.2_ASM24698v3_protein_matches 497
GCF_000211475.1_ASM21147v1_protein_matches 462
GCF_002215405.1_ASM221540v1_protein_matches 467
GCF_018623055.1_ASM1862305v1_protein_matches 324
GCF_000802205.1_ASM80220v2_protein_matches 521
GCF_000204415.1_ASM20441v1_protein_matches 501
GCF_000151205.2_ASM15120v2_protein_matches 460
GCF_013407385.1_ASM1340738v1_protein_matches 482
GCF_000021965.1_ASM2196v1_protein_matches 476
GCF_014962245.1_ASM1496224v1_protein_matches 498
GCF_001266695.1_ASM126669v1_protein_matches 484
GCF_008326385.1_SulIC007_1.0_protein_matches 476
GCF_006740685.1_ASM674068v1_protein_matches 457
GCF_020150815.1_ASM2015081v1_protein_matches 375
GCF_000725425.1_ASM72542v1_protein_matches 481
GCF_017352155.2_ASM1735215v2_protein_matches 364
GCF_000016125.1_ASM1612v1_protein_matches 474
GCF_000023965.1_ASM2396v1_protein_matches 309
GCF_000970025.1_ASM97002v1_protein_matches 534
GCF_000813245.1_ASM81324v1_protein_matches 494
GCF_000214415.1_ASM21441v1_protein_matches 499
GCF_000011185.1_ASM1118v1_protein_matches 459
GCF_001870125.1_ASM187012v1_protein_matches 504
GCF_000221185.1_ASM22118v1_protein_matches 483
GCF_005890195.1_ASM589019v1_protein_matches 309
GCF_003342675.1_ASM334267v1_protein_matches 344
GCF_000022485.1_ASM2248v1_protein_matches 514
GCF_000022365.1_ASM2236v1_protein_matches 455
GCF_000012285.1_ASM1228v1_protein_matches 469
GCF_000993805.1_ASM99380v1_protein_matches 497
GCF_000591055.1_ASM59105v1_protein_matches 276
GCF_000145295.1_ASM14529v1_protein_matches 468
GCF_019175325.1_ASM1917532v1_protein_matches 486
GCF_000223395.1_ASM22339v1_protein_matches 429
GCF_003201675.2_ASM320167v2_protein_matches 489
GCF_001433455.1_ASM143345v1_protein_matches 507
GCF_020736485.1_ASM2073648v1_protein_matches 8
GCF_008245085.1_ASM824508v1_protein_matches 493
GCF_000970085.1_ASM97008v1_protein_matches 542
GCF_013388255.1_ASM1338825v1_protein_matches 478
GCF_019669965.1_ASM1966996v1_protein_matches 483
GCF_010692885.1_ASM1069288v1_protein_matches 338
GCF_000264495.1_ASM26449v1_protein_matches 471
GCF_000223905.1_ASM22390v1_protein_matches 360
GCF_001647085.1_ASM164708v1_protein_matches 451
GCF_001027005.1_ASM102700v1_protein_matches 530
GCF_000026045.1_ASM2604v1_protein_matches 257
GCF_020405225.1_ASM2040522v1_protein_matches 397
GCF_019669925.1_ASM1966992v1_protein_matches 478
GCF_000025325.1_ASM2532v1_protein_matches 429
GCF_000148385.1_ASM14838v1_protein_matches 488
GCF_000317795.1_ASM31779v1_protein_matches 485
GCF_018128925.1_ASM1812892v1_protein_matches 456
GCF_001488575.1_Halobacterium_hubeiense_JI20-1_protein_matches 190
GCF_000970265.1_ASM97026v1_protein_matches 522
GCF_900696045.1_Nitrosocosmicus_franklandus_C13_protein_matches 503
GCF_000189555.1_ASM18955v1_protein_matches 505
GCF_900248165.1_Nitrosocaldus_cavascurensis_SCU2_chromosome_protein_matches 427
GCF_002945325.1_ASM294532v1_protein_matches 493
GCF_003268005.1_ASM326800v1_protein_matches 496
GCF_007833275.1_ASM783327v1_protein_matches 262
GCF_001989615.1_ASM198961v1_protein_matches 350
GCF_000022205.1_ASM2220v1_protein_matches 337
GCF_002214485.1_ASM221448v1_protein_matches 491
GCF_019823105.1_ASM1982310v1_protein_matches 347
GCF_000230735.2_ASM23073v3_protein_matches 317
GCF_002214525.1_ASM221452v1_protein_matches 470
GCF_003967175.1_Sacidi_1.0_protein_matches 508
GCF_000253055.1_ASM25305v1_protein_matches 468
GCF_009729055.1_ASM972905v1_protein_matches 496
GCF_900012635.1_Pyrococcus_chitonophagus_genome_sequence_protein_matches 461
GCF_019263745.1_ASM1926374v1_protein_matches 489
GCF_000011085.1_ASM1108v1_protein_matches 364
GCF_000204925.1_ASM20492v1_protein_matches 457
GCF_009617995.1_ASM961799v1_protein_matches 333
GCF_000015205.1_ASM1520v1_protein_matches 431
GCF_000303155.1_ASM30315v1_protein_matches 510
GCF_000251105.1_ASM25110v1_protein_matches 469
GCF_902813195.1_Essen_protein_matches 490
GCF_000235565.1_ASM23556v1_protein_matches 497
GCF_003711245.1_ASM371124v1_protein_matches 458
GCF_000970225.1_ASM97022v1_protein_matches 515
GCF_000008665.1_ASM866v1_protein_matches 478
GCF_009602405.1_ASM960240v1_protein_matches 508
GCF_000234805.1_ASM23480v1_protein_matches 462
GCF_013407275.1_ASM1340727v1_protein_matches 490
GCF_000069025.1_ASM6902v1_protein_matches 4
GCF_000970205.1_ASM97020v1_protein_matches 511
GCF_000025285.1_ASM2528v1_protein_matches 443
GCF_000022445.1_ASM2244v1_protein_matches 520
GCF_000008645.1_ASM864v1_protein_matches 502
GCF_000151105.2_ASM15110v2_protein_matches 492
GCF_003431325.1_ASM343132v1_protein_matches 479
GCF_000063445.1_ASM6344v1_protein_matches 501
GCF_000739065.1_ASM73906v1_protein_matches 460
GCF_020614375.1_ASM2061437v1_protein_matches 446
GCF_005310945.1_ASM531094v1_protein_matches 361
GCF_000258425.1_ASM25842v1_protein_matches 469
GCF_002813085.1_ASM281308v1_protein_matches 490
GCF_000769655.1_ASM76965v1_protein_matches 450
GCF_013407185.1_ASM1340718v1_protein_matches 462
GCF_000969965.1_ASM96996v1_protein_matches 540
GCF_000970065.1_ASM97006v1_protein_matches 538
GCF_001971705.1_ASM197170v1_protein_matches 312
GCF_000186365.1_ASM18636v1_protein_matches 493
GCF_900090055.1_C.divulgatum_PM4_protein_matches 490
GCF_000969905.1_ASM96990v1_protein_matches 552
GCF_013407165.1_ASM1340716v1_protein_matches 448
GCF_000011125.1_ASM1112v1_protein_matches 460
GCF_019879105.1_ASM1987910v1_protein_matches 410
GCF_001481685.1_ASM148168v1_protein_matches 422
GCF_013402815.1_ASM1340281v1_protein_matches 353
GCF_002214365.1_ASM221436v1_protein_matches 470
GCF_000019805.1_ASM1980v1_protein_matches 420
GCF_000152265.2_ASM15226v2_protein_matches 468
GCF_019693215.1_ASM1969321v1_protein_matches 308
GCF_013391085.1_ASM1339108v1_protein_matches 299
GCF_000404165.1_ASM40416v1_protein_matches 478
GCF_904067545.1_T_caminus_IRI35c_protein_matches 488
GCF_000970185.1_ASM97018v1_protein_matches 514
GCF_013407145.1_ASM1340714v1_protein_matches 462
GCF_000015805.1_ASM1580v1_protein_matches 458
GCF_003351865.1_ASM335186v1_protein_matches 463
GCF_001305655.1_ASM130565v1_protein_matches 281
GCF_000024185.1_ASM2418v1_protein_matches 518
GCF_000828555.1_ASM82855v1_protein_matches 461
GCF_003201765.2_ASM320176v2_protein_matches 478
GCF_000969885.1_ASM96988v1_protein_matches 499
GCF_008033705.1_ASM803370v1_protein_matches 478
GCF_000217715.1_ASM21771v1_protein_matches 366
GCF_000015145.1_ASM1514v1_protein_matches 454
GCF_017094445.1_ASM1709444v1_protein_matches 340
GCF_900079115.1_SSOP1_protein_matches 513
GCF_002214465.1_ASM221446v1_protein_matches 503
GCF_000328685.1_ASM32868v1_protein_matches 380
GCF_000007225.1_ASM722v1_protein_matches 443
GCF_001266675.1_ASM126667v1_protein_matches 484
GCF_000008265.1_ASM826v1_protein_matches 461
GCF_000016385.1_ASM1638v1_protein_matches 446
GCF_000015825.1_ASM1582v1_protein_matches 474
GCF_018200015.1_ASM1820001v1_protein_matches 371
GCF_000007345.1_ASM734v1_protein_matches 547
GCF_000023985.1_ASM2398v1_protein_matches 455
GCF_000189575.1_ASM18957v1_protein_matches 514
GCF_000956175.1_ASM95617v1_protein_matches 458
GCF_000147875.1_ASM14787v1_protein_matches 479
GCF_000230955.2_ASM23095v3_protein_matches 267
GCF_000018465.1_ASM1846v1_protein_matches 469
GCF_013343295.1_ASM1334329v1_protein_matches 471
GCF_004799685.1_ASM479968v1_protein_matches 372
GCF_000007005.1_ASM700v1_protein_matches 505
GCF_005406325.1_ASM540632v1_protein_matches 342
GCF_003721175.2_ASM372117v2_protein_matches 308
GCF_004799645.1_ASM479964v1_protein_matches 339
GCF_000007065.1_ASM706v1_protein_matches 509
GCF_002214545.1_ASM221454v1_protein_matches 490
GCF_000166095.1_ASM16609v1_protein_matches 454
GCF_020618475.1_ASM2061847v1_protein_matches 508
GCF_000968435.2_ASM96843v2_protein_matches 497
GCF_001719125.1_ASM171912v1_protein_matches 501
GCF_001412615.1_ASM141261v1_protein_matches 442
GCF_000969945.1_ASM96994v1_protein_matches 549
GCF_003852135.1_ASM385213v1_protein_matches 486
GCF_002214385.1_ASM221438v1_protein_matches 474
GCF_017352095.1_ASM1735209v1_protein_matches 319
GCF_006274605.1_ASM627460v1_protein_matches 459
GCF_000955905.1_ASM95590v3_protein_matches 482
GCF_012222305.1_ASM1222230v1_protein_matches 505
GCF_000025685.1_ASM2568v1_protein_matches 331
GCF_003990725.2_ASM399072v2_protein_matches 331
GCF_002215565.1_ASM221556v1_protein_matches 474
GCF_003852195.1_ASM385219v1_protein_matches 486
GCF_000385565.1_ASM38556v1_protein_matches 467
GCF_005155585.1_ASM515558v1_protein_matches 343
GCF_002355655.1_ASM235565v1_protein_matches 333
GCF_019704315.1_ASM1970431v1_protein_matches 489
GCF_009617975.1_ASM961797v1_protein_matches 464
GCF_000762265.1_ASM76226v1_protein_matches 514
GCF_000092465.1_ASM9246v1_protein_matches 497
GCF_003852095.1_ASM385209v1_protein_matches 483
GCF_000196895.1_ASM19689v1_protein_matches 417
GCF_002906575.1_ASM290657v1_protein_matches 425
GCF_008152015.1_ASM815201v1_protein_matches 477
GCF_001011115.1_ASM101111v1_protein_matches 280
GCF_001889405.1_ASM188940v1_protein_matches 471
GCF_017094505.1_ASM1709450v1_protein_matches 351
GCF_002813675.1_ASM281367v1_protein_matches 495
GCF_002787055.1_ASM278705v1_protein_matches 478
GCF_013340765.1_NAS2_1.0_protein_matches 454
GCF_000018305.1_ASM1830v1_protein_matches 510
GCF_002214605.1_ASM221460v1_protein_matches 462
GCF_003430825.1_ASM343082v1_protein_matches 310
GCF_000190315.1_ASM19031v1_protein_matches 502
GCF_000591035.1_ASM59103v1_protein_matches 463
GCF_000025665.1_ASM2566v1_protein_matches 455
GCF_000019605.1_ASM1960v1_protein_matches 496
GCF_005576615.1_ASM557661v1_protein_matches 372
GCF_020614395.1_ASM2061439v1_protein_matches 249
GCF_000007185.1_ASM718v1_protein_matches 465
GCF_020700235.1_ASM2070023v1_protein_matches 443
GCF_900036045.1_Methanoculleus_sp_MAB1_protein_matches 474
GCF_000011105.1_ASM1110v1_protein_matches 483
GCF_001577775.1_ASM157777v1_protein_matches 474
GCF_016806735.1_ASM1680673v1_protein_matches 497
GCF_000970165.1_ASM97016v1_protein_matches 512
GCF_009729015.1_ASM972901v1_protein_matches 465
GCF_002844335.1_ASM284433v1_protein_matches 349
GCF_000017945.1_ASM1794v1_protein_matches 423
GCF_002813655.1_ASM281365v1_protein_matches 504
GCF_002214585.1_ASM221458v1_protein_matches 470
GCF_000017185.1_ASM1718v1_protein_matches 494
GCF_002156965.1_ASM215696v1_protein_matches 443
GCF_000025625.1_ASM2562v1_protein_matches 308
GCF_020097835.1_ASM2009783v1_protein_matches 363
GCF_000022405.1_ASM2240v1_protein_matches 518
GCF_003430805.1_ASM343080v1_protein_matches 307
GCF_017094525.1_ASM1709452v1_protein_matches 328
GCF_000300255.2_ASM30025v2_protein_matches 458
GCF_014969745.1_ASM1496974v1_protein_matches 332
GCF_019669945.1_ASM1966994v1_protein_matches 506
GCF_000014945.1_ASM1494v1_protein_matches 478
GCF_000091665.1_ASM9166v1_protein_matches 464
GCF_000969925.1_ASM96992v1_protein_matches 501
GCF_020405245.1_ASM2040524v1_protein_matches 395
GCF_000970285.1_ASM97028v1_protein_matches 540
GCF_010692905.1_ASM1069290v1_protein_matches 312
GCF_003852155.1_ASM385215v1_protein_matches 486
GCF_000025525.1_ASM2552v1_protein_matches 460
GCF_003721435.2_ASM372143v2_protein_matches 360
GCF_000827835.1_ASM82783v1_protein_matches 378
GCF_000022465.1_ASM2246v1_protein_matches 504
GCF_004087835.1_ASM408783v1_protein_matches 267
GCF_000230715.2_ASM23071v3_protein_matches 295
GCF_001266735.1_ASM126673v1_protein_matches 481
GCF_002025255.2_ASM202525v2_protein_matches 333
GCF_000338775.1_ASM33877v1_protein_matches 475
GCF_000364745.1_ASM36474v1_protein_matches 511
GCF_020405185.1_ASM2040518v1_protein_matches 393
GCF_000012545.1_ASM1254v1_protein_matches 481
GCF_000446015.1_ASM44601v1_protein_matches 501
GCF_019880245.1_ASM1988024v1_protein_matches 346
GCF_018502485.1_ASM1850248v1_protein_matches 513
GCF_000015225.1_ASM1522v1_protein_matches 498
GCF_001767315.1_ASM176731v1_protein_matches 297
GCF_000328525.1_ASM32852v1_protein_matches 303
GCF_000020905.1_ASM2090v1_protein_matches 495
GCF_000812185.1_ASM81218v1_protein_matches 482
GCF_003852215.1_ASM385221v1_protein_matches 486
GCF_000144915.1_ASM14491v1_protein_matches 479
GCF_000179575.2_ASM17957v2_protein_matches 484
GCF_008326425.1_SulIC006_1.0_protein_matches 476
GCF_003852115.1_ASM385211v1_protein_matches 501
GCF_000195915.1_ASM19591v1_protein_matches 470
GCF_001006045.1_ASM100604v1_protein_matches 484
GCF_000191585.1_ASM19158v1_protein_matches 513
GCF_000024625.1_ASM2462v1_protein_matches 459
GCF_009690625.1_ASM969062v1_protein_matches 348
GCF_018228765.1_ASM1822876v1_protein_matches 319
GCF_016917835.1_ASM1691783v1_protein_matches 31
GCF_000828535.1_ASM82853v1_protein_matches 461
GCF_002156705.1_ASM215670v1_protein_matches 362
GCF_000011585.1_ASM1158v1_protein_matches 481
GCF_013402875.1_ASM1340287v1_protein_matches 387
GCF_020885915.1_ASM2088591v1_protein_matches 455
GCF_019175345.1_ASM1917534v1_protein_matches 524
GCF_000213215.1_ASM21321v1_protein_matches 450
GCF_004799665.1_ASM479966v1_protein_matches 346
GCF_002214165.1_ASM221416v1_protein_matches 494
GCF_001477655.1_ASM147765v1_protein_matches 507
GCF_002813695.1_ASM281369v1_protein_matches 499
GCF_013415885.1_ASM1341588v1_protein_matches 352
